zip_code,median_household_income_acs2019,derived_income_quartile
04348,61091,3
04349,68125,3
04350,71906,3
04351,76550,3
04352,60938,2
04353,49850,2
04354,66167,3
04355,81042,3
04357,53333,2
04358,64185,3
04360,60069,2
04363,59042,2
04364,71321,3
04401,52700,2
04406,48438,2
04408,62292,3
04410,49702,2
04411,64130,3
04412,52174,2
04413,47292,1
04414,41522,1
04415,35729,1
04416,46250,1
04417,33281,1
04418,40938,1
04419,78309,3
04421,62292,3
04422,53333,2
04424,35741,1
04426,39554,1
04427,49803,2
04428,59757,2
04429,62770,3
04430,41838,1
04434,58000,2
04435,45473,1
04438,47000,1
04441,53698,2
04443,39596,1
04444,80286,3
04448,40288,1
04449,54519,2
04450,58958,2
04451,33750,1
04453,31932,1
04454,18500,1
04455,39000,1
04456,63152,3
04457,37358,1
04459,35750,1
04460,34563,1
04461,53349,2
04462,35024,1
04463,36098,1
04464,39013,1
04468,42965,1
04471,31771,1
04472,57768,2
04473,47528,1
04474,70833,3
04475,49250,2
04476,44659,1
04478,43750,1
04479,41406,1
04481,53333,2
04485,47679,1
04487,35625,1
04488,62969,3
04490,60000,2
04491,46250,1
04492,43750,1
04493,48558,2
04495,39688,1
04496,62455,3
04497,20729,1
04530,53571,2
04535,76250,3
04537,64375,3
04538,48475,2
04539,62292,3
04541,45893,1
04543,55852,2
04544,68828,3
04547,59167,2
04548,68472,3
04551,60833,2
04553,67295,3
04554,70125,3
04555,64145,3
04556,56950,2
04558,61534,3
04562,77143,3
04563,58221,2
04564,65500,3
04568,52292,2
04571,64531,3
04572,41069,1
04573,73125,3
04574,53438,2
04575,142614,4
04576,54808,2
04578,57031,2
04579,78380,3
04605,57856,2
04606,38906,1
04607,47313,1
04609,66591,3
04611,50441,2
04612,71691,3
04613,98438,4
04614,69087,3
04616,51010,2
04617,63409,3
04619,32601,1
04622,38203,1
04623,47500,1
04624,65000,3
04625,46719,1
04626,50536,2
04627,46932,1
04628,53333,2
04630,43821,1
04631,34427,1
04634,44487,1
04635,21250,1
04637,38750,1
04640,61296,3
04642,51875,2
04643,43750,1
04645,32500,1
04646,59038,2
04648,42014,1
04649,38529,1
04652,37267,1
04653,44615,1
04654,36490,1
04655,51696,2
04657,56250,2
04658,45139,1
04660,102981,4
04662,53558,2
04664,59327,2
04666,41806,1
04667,41838,1
04668,32417,1
04671,59911,2
04673,32813,1
04674,63750,3
04675,99167,4
04676,59375,2
04677,59444,2
04679,56017,2
04680,43810,1
04681,60313,2
04683,99107,4
04684,70703,3
04685,69531,3
04686,53750,2
04691,55625,2
04693,42000,1
04694,46895,1
04730,39665,1
04732,40481,1
04733,36500,1
04734,48676,2
04735,44205,1
04736,43390,1
04739,38700,1
04740,41976,1
04742,40457,1
04743,48708,2
04745,46667,1
04746,27969,1
04747,42356,1
04750,38750,1
04756,35757,1
04757,56579,2
04758,44602,1
04760,38917,1
04761,47500,1
04762,36932,1
04763,33750,1
04764,50000,2
04765,29643,1
04766,41797,1
04768,48417,2
04769,39366,1
04772,47500,1
04773,44412,1
04774,39485,1
04776,43611,1
04777,40714,1
04779,42917,1
04780,37969,1
04781,50000,2
04783,35938,1
04785,31019,1
04786,39662,1
04787,32917,1
04841,44156,1
04843,67226,3
04847,69107,3
04848,63472,3
04849,62205,3
04851,51250,2
04853,68194,3
04854,59643,2
04855,113750,4
04856,66731,3
04858,68438,3
04859,50197,2
04860,52449,2
04861,54981,2
04862,60479,2
04863,65313,3
04864,67680,3
04901,45341,1
04910,51667,2
04911,36375,1
04912,35000,1
04915,56892,2
04917,87663,4
04918,69250,3
04920,33788,1
04921,37946,1
04922,43333,1
04923,35357,1
04924,53632,2
